Transcription	stressInfoA	stressInfoB	Orthography	Frequency	PoSs
ɪ.n.k.w.aɪ.ɹ	_'	S2	inquire	6	(VT VI AV)
ɪ.n.k.w.aɪ.ɹ.i	'`_	S3	inquiry	17	(N)
ɪ.n.k.w.ə.z.ɪ.ʃ.ɪ.n	`_'_	S4	inquisition	3	(N)
ɪ.n.k.w.ɪ.z.ɪ.t.ɪ.v	_'__	S4	inquisitive	1	(AJ)
ɪ.n.k.w.ɪ.z.ɪ.t.ɚ	_'__	S4	inquisitor	1	(N)
ɪ.n.ɹ.oʊ.d	'`	S2	inroad	0	(N)
ɪ.n.ɹ.ʌ.ʃ	'`	S2	inrush	0	(N)
ɪ.n.s.ə.l.u.b.ɹ.i.ə.s	`_'__	S5	insalubrious	0	(AJ)
ɪ.n.s.eɪ.n	`'	S2	insane	13	(AJ)
ɪ.n.s.æ.n.ɪ.t.i	_'__	S4	insanity	3	(N)
ɪ.n.s.eɪ.ʃ.ə.b.l̩	`'__	S4	insatiable	1	(AJ)
ɪ.n.s.k.ɹ.aɪ.b	_'	S2	inscribe	0	(VT)
ɪ.n.s.k.ɹ.u.t.ə.b.l̩	_'__	S4	inscrutable	5	(AJ)
ɪ.n.s.i.m	'`	S2	inseam	0	(N)
ɪ.n.s.ɛ.k.t	'`	S2	insect	14	(N)
ɪ.n.s.ɛ.k.t.ɪ.s.aɪ.d	_'_`	S4	insecticide	1	(N)
ɪ.n.s.ɛ.k.t.ɪ.v.ə.ɹ.ə.s	``'__	S5	insectivorous	0	(AJ)
ɪ.n.s.ɪ.k.j.ʊ.ɹ	`_'	S3	insecure	3	(AJ)
ɪ.n.s.ɛ.n.s.eɪ.t	`'`	S3	insensate	0	(AJ)
ɪ.n.s.ɛ.n.s.ə.b.ɪ.l.ɪ.t.i	``_'__	S6	insensibility	0	(N)
ɪ.n.s.ɛ.n.s.ə.b.l̩	`'__	S4	insensible	0	(AJ)
ɪ.n.s.ɛ.n.s.ə.b.l.i	`'__	S4	insensibly	0	(AV)
ɪ.n.s.ɛ.n.tʃ.i.ə.n.t	`'__	S4	insentient	0	(AJ)
ɪ.n.s.ɛ.p.ɚ.ə.b.ɪ.l.ɪ.t.i	``__'__	S7	inseparability	0	(N)
ɪ.n.s.ɛ.p.ɚ.ə.b.l̩	`'___	S5	inseparable	4	(AJ)
ɪ.n.s.ɛ.p.ɚ.ə.b.l.i	`'___	S5	inseparably	0	(AV)
ɪ.n.s.ɚ.t	_'	S2	insert	13	(VT VI N)
ɪ.n.s.ɚ.ʃ.ɪ.n	_'_	S3	insertion	1	(N)
ɪ.n.s.ɛ.t	'`	S2	inset	1	(N VT)
ɪ.n.ʃ.oʊ.ɹ	'`	S2	inshore	2	(AJ AV)
ɪ.n.s.aɪ.d	`'	S2	inside	174	(N PP AV)
ɪ.n.s.aɪ.d.ɚ	`'_	S3	insider	0	(N)
ɪ.n.s.ɪ.d.i.ə.s	_'__	S4	insidious	2	(AJ)
ɪ.n.s.aɪ.t	'`	S2	insight	22	(N)
ɪ.n.s.ɪ.g.n.i.ə	_'__	S4	insignia	0	(N)
ɪ.n.s.ṇ.s.ɪ.ɹ	`_'	S3	insincere	1	(AJ)
ɪ.n.s.ɪ.n.j.u.eɪ.t	_'_`	S4	insinuate	0	(VT VI)
ɪ.n.s.ɪ.n.j.ʊ.eɪ.ʃ.ɪ.n	``_'_	S5	insinuation	2	(N)
ɪ.n.s.ɪ.p.ɪ.d	_'_	S3	insipid	1	(AJ)
ɪ.n.s.ə.p.ɪ.d.ɪ.t.i	`_'__	S5	insipidity	0	(N)
ɪ.n.s.ɪ.s.t	_'	S2	insist	27	(VI VT)
ɪ.n.s.oʊ.l	'`	S2	insole	0	(N)
ɪ.n.s.l̩.ə.n.t	'__	S3	insolent	2	(AJ)
ɪ.n.s.ɑ.l.j.u.b.ɪ.l.ɪ.t.i	``_'__	S6	insolubility	0	(N)
ɪ.n.s.ɑ.l.j.u.b.l̩	`'__	S4	insoluble	12	(AJ)
ɪ.n.s.ɑ.l.v.ə.b.l̩	`'__	S4	insolvable	0	(AJ)
ɪ.n.s.ɑ.l.v.ə.n.t	`'_	S3	insolvent	0	(AJ)
ɪ.n.s.ɑ.m.n.i.ə	_'__	S4	insomnia	3	(N)
ɪ.n.s.oʊ.m.ʌ.tʃ	``'	S3	insomuch	0	(AV)
ɪ.n.s.u.s.i.ə.n.s	_'__	S4	insouciance	1	(N)
ɪ.n.s.p.ɛ.k.t	_'	S2	inspect	12	(VT VI)
ɪ.n.s.p.ɚ.eɪ.ʃ.ɪ.n	`_'_	S4	inspiration	9	(N)
ɪ.n.s.p.aɪ.ɹ	_'	S2	inspire	3	(VT VI)
ɪ.n.s.p.ɪ.ɹ.ə.t	_'_	S3	inspirit	0	(VT)
ɪ.n.s.t.ə.b.ɪ.l.ɪ.t.i	`_'__	S5	instability	4	(N)
ɪ.n.s.t.ɔ.l	_'	S2	instal	0	(VT)
ɪ.n.s.t.ə.l.eɪ.ʃ.ɪ.n	`_'_	S4	installation	12	(N)
ɪ.n.s.t.ɔ.l.m.ə.n.t	_'_	S3	instalment	0	(N)
ɪ.n.s.t.ə.n.s	'_	S2	instance	82	(N VT)
ɪ.n.s.t.ə.n.t	'_	S2	instant	38	(N AJ)
ɪ.n.s.t.ə.n.t.eɪ.n.i.ə.s	`_'__	S5	instantaneous	5	(AJ)
ɪ.n.s.t.æ.n.t.ɚ	_'_	S3	instanter	0	(AV)
ɪ.n.s.t.ə.n.t.l.i	'__	S3	instantly	19	(AV CJ)
ɪ.n.s.t.eɪ.t	_'	S2	instate	0	(VT)
ɪ.n.s.t.ɛ.d	_'	S2	instead	173	(AV)
ɪ.n.s.t.ɛ.p	'`	S2	instep	0	(N)
ɪ.n.s.t.ɪ.g.eɪ.t	'_`	S3	instigate	1	(VT)
ɪ.n.s.t.ɪ.g.eɪ.ʃ.ɪ.n	`_'_	S4	instigation	1	(N)
ɪ.n.s.t.ɪ.g.eɪ.t.ɚ	'_`_	S4	instigator	1	(N)
ɪ.n.s.t.ɪ.l	_'	S2	instil	0	(VT)
ɪ.n.s.t.ɪ.ŋ.t	'`	S2	instinct	14	(N AJ)
ɪ.n.s.t.ɪ.ŋ.k.t.ɪ.v	_'_	S3	instinctive	3	(AJ)
ɪ.n.s.t.ɪ.t.u.t	'_`	S3	institute	50	(VT N)
ɪ.n.s.t.ɪ.t.u.ʃ.ɪ.n	`_'_	S4	institution	42	(N)
ɪ.n.s.t.ɹ.ʌ.k.t	_'	S2	instruct	3	(VT)
ɪ.n.s.t.ɹ.ʌ.k.ʃ.ɪ.n	_'_	S3	instruction	26	(N)
ɪ.n.s.t.ɹ.ʌ.k.t.ɪ.v	_'_	S3	instructive	3	(AJ)
ɪ.n.s.t.ɹ.ə.m.ə.n.t	'__	S3	instrument	48	(N VT)
ɪ.n.s.t.ɹ.ə.m.ɛ.n.t.l̩	`_'_	S4	instrumental	12	(AJ)
ɪ.n.s.t.ɹ.ʊ.m.ə.n.t.æ.l.ə.t.i	`__'__	S6	instrumentality	0	(N)
ɪ.n.s.t.ɹ.ə.m.ə.n.t.eɪ.ʃ.ɪ.n	`__'_	S5	instrumentation	4	(N)
ɪ.n.s.ə.b.ɔ.ɹ.d.ṇ.ə.t	`_'__	S5	insubordinate	2	(AJ)
ɪ.n.s.ə.b.s.t.æ.n.tʃ.l̩	`_'_	S4	insubstantial	2	(AJ)
ɪ.n.s.ʌ.f.ɚ.ə.b.l̩	`'___	S5	insufferable	0	(AJ)
ɪ.n.s.ə.f.ɪ.ʃ.ɪ.n.t	`_'_	S4	insufficient	7	(AJ)
ɪ.n.s.l̩.ɚ	'__	S3	insular	0	(AJ)
ɪ.n.s.ə.l.æ.ɹ.ə.t.i	`_'__	S5	insularity	3	(N)
ɪ.n.s.ə.l.eɪ.t	'_`	S3	insulate	2	(VT)
ɪ.n.s.ə.l.eɪ.ʃ.ɪ.n	`_'_	S4	insulation	10	(N)
ɪ.n.s.ə.l.eɪ.t.ɚ	'_`_	S4	insulator	1	(N)
ɪ.n.s.l̩.ə.n	'__	S3	insulin	3	(N)
ɪ.n.s.ʌ.l.t	_'	S2	insult	7	(VI VT N)
ɪ.n.s.u.p.ɚ.ə.b.l̩	`'___	S5	insuperable	2	(AJ)
ɪ.n.s.ə.p.oʊ.ɹ.t.ə.b.l̩	`_'__	S5	insupportable	0	(AJ)
ɪ.n.ʃ.ʊ.ɹ.ə.b.l̩	_'__	S4	insurable	0	(AJ)
ɪ.n.ʃ.ʊ.ɹ.ə.n.s	_'_	S3	insurance	47	(N)
ɪ.n.ʃ.ʊ.ɹ	_'	S2	insure	24	(VT VI)
ɪ.n.s.ɚ.dʒ.ɪ.n.t	_'_	S3	insurgent	1	(N AJ)
ɪ.n.s.ɚ.m.aʊ.n.t.ə.b.l̩	`_'__	S5	insurmountable	2	(AJ)
ɪ.n.s.ɚ.ɛ.k.ʃ.ɪ.n	`_'_	S4	insurrection	2	(N)
ɪ.n.t.æ.k.t	_'	S2	intact	14	(AJ)
ɪ.n.t.æ.l.j.oʊ	_'`	S3	intaglio	0	(N)
ɪ.n.t.eɪ.k	'`	S2	intake	7	(N)
ɪ.n.t.æ.n.dʒ.ɪ.b.l̩	`'__	S4	intangible	6	(AJ N)
ɪ.n.t.ɪ.dʒ.ɚ	'__	S3	integer	4	(N)
ɪ.n.t.ɪ.g.ɹ.l̩	'__	S3	integral	13	(AJ N)
ɪ.n.t.ɪ.g.ɹ.eɪ.t	'_`	S3	integrate	7	(VT VI)
ɪ.n.t.ɪ.g.ɹ.eɪ.ʃ.ɪ.n	`_'_	S4	integration	48	(N)
ɪ.n.t.ɛ.g.ɹ.ə.t.i	_'__	S4	integrity	10	(N)
ɪ.n.t.ɛ.g.j.ʊ.m.ə.n.t	_'__	S4	integument	0	(N)
ɪ.n.t.ə.l.ɛ.k.t	'_`	S3	intellect	5	(N)
ɪ.n.t.ə.l.ɛ.k.tʃ.u.l̩	`_'__	S5	intellectual	73	(AJ N)
ɪ.n.t.ɛ.l.ɪ.dʒ.ɪ.n.s	_'__	S4	intelligence	48	(N)
ɪ.n.t.ɛ.l.ɪ.dʒ.ɪ.n.t	_'__	S4	intelligent	26	(AJ)
ɪ.n.t.ɛ.l.ə.dʒ.ɛ.n.s.i.ə	``_'__	S6	intelligentsia	1	(N)
ɪ.n.t.ɛ.l.ə.dʒ.ɪ.b.l̩	_'___	S5	intelligible	11	(AJ)
ɪ.n.t.ɛ.m.p.ɚ.ə.n.s	`'__	S4	intemperance	1	(N)
ɪ.n.t.ɛ.n.d	_'	S2	intend	15	(VT VI)
ɪ.n.t.ɛ.n.d.ɪ.n.t	_'_	S3	intendant	1	(N)
ɪ.n.t.ɛ.n.s	_'	S2	intense	40	(AJ)
ɪ.n.t.ɛ.n.s.ə.f.aɪ	_'_`	S4	intensify	4	(VT VI)
ɪ.n.t.ɛ.n.s.ɪ.t.i	_'__	S4	intensity	59	(N)
ɪ.n.t.ɛ.n.s.ɪ.v	_'_	S3	intensive	15	(AJ N)
ɪ.n.t.ɛ.n.t	_'	S2	intent	14	(N AJ)
ɪ.n.t.ɛ.n.tʃ.ɪ.n	_'_	S3	intention	36	(N)
ɪ.n.t.ɛ.n.tʃ.ɪ.n.l̩	_'__	S4	intentional	5	(AJ)
ɪ.n.t.ɚ	_'	S2	inter	15	(VT)
ɪ.n.t.ɚ.æ.k.ʃ.ɪ.n	`_'_	S4	interaction	17	(N)
ɪ.n.t.ɚ.b.ɹ.i.d	`_'	S3	interbreed	0	(VI VT)
ɪ.n.t.ɚ.k.ə.l.ɛ.ɹ.i	_'_`_	S5	intercalary	0	(AJ)
ɪ.n.t.ɚ.s.i.d	`_'	S3	intercede	1	(VI)
ɪ.n.t.ɚ.s.ɛ.p.t	`_'	S3	intercept	6	(VT N)
ɪ.n.t.ɚ.s.ɛ.ʃ.ɪ.n	`_'_	S4	intercession	0	(N)
ɪ.n.t.ɚ.tʃ.eɪ.n.dʒ	`_'	S3	interchange	6	(VT VI N)
ɪ.n.t.ɚ.k.ə.l.i.dʒ.ɪ.t	`__'_	S5	intercollegiate	4	(AJ)
ɪ.n.t.ɚ.k.ɑ.m	'_`	S3	intercom	0	(N)
ɪ.n.t.ɚ.k.oʊ.ɹ.s	'_`	S3	intercourse	9	(N)
ɪ.n.t.ɚ.k.ʌ.l.tʃ.ɚ.l̩	`_'__	S5	intercultural	0	(AJ)
ɪ.n.t.ɚ.d.ɪ.p.ɑ.ɹ.t.m.ɛ.n.t.l̩	`__`'_	S6	interdepartmental	1	(AJ)
ɪ.n.t.ɚ.d.ɪ.p.ɛ.n.d.ɪ.n.t	`__'_	S5	interdependent	8	(AJ)
ɪ.n.t.ɚ.d.ɪ.k.t	'_`	S3	interdict	0	(N VT)
ɪ.n.t.ɹ.ə.s.t	'_	S2	interest	334	(N VT)
ɪ.n.t.ɚ.f.eɪ.θ	'_`	S3	interfaith	7	(AJ)
ɪ.n.t.ɚ.f.ɪ.ɹ	`_'	S3	interfere	9	(VI)
ɪ.n.t.ɚ.f.j.u.z	`_'	S3	interfuse	0	(VT)
ɪ.n.t.ɚ.ṃ	'__	S3	interim	11	(N)
ɪ.n.t.ɪ.ɹ.i.ɚ	_'__	S4	interior	74	(N AJ)
ɪ.n.t.ɚ.dʒ.ɛ.k.t	`_'	S3	interject	0	(VT)
ɪ.n.t.ɚ.dʒ.ɛ.k.ʃ.ɪ.n	`_'_	S4	interjection	0	(N)
ɪ.n.t.ɚ.l.eɪ.s	`_'	S3	interlace	0	(VT VI)
ɪ.n.t.ɚ.l.ɑ.ɹ.d	`_'	S3	interlard	0	(VT)
ɪ.n.t.ɚ.l.i.f	`_'	S3	interleaf	0	(VT N)
ɪ.n.t.ɚ.l.i.v	`_'	S3	interleave	0	(VT)
ɪ.n.t.ɚ.l.aɪ.n	`_'	S3	interline	0	(VT)
ɪ.n.t.ɚ.l.ɪ.n.i.ɚ	`_'__	S5	interlinear	0	(AJ)
ɪ.n.t.ɚ.l.aɪ.n.ɪ.ŋ	'_`_	S4	interlining	2	(N)
ɪ.n.t.ɚ.l.ɪ.ŋ.k	`_'	S3	interlink	0	(VT)
ɪ.n.t.ɚ.l.ɑ.k	`_'	S3	interlock	0	(VI VT)
ɪ.n.t.ɚ.l.ɑ.k.j.u.t.ɚ	`_'__	S5	interlocutor	1	(N)
ɪ.n.t.ɚ.l.ɑ.k.j.u.t.oʊ.ɹ.i	`_'_`_	S6	interlocutory	0	(AJ)
ɪ.n.t.ɚ.l.oʊ.p.ɚ	`_'_	S4	interloper	0	(N)
ɪ.n.t.ɚ.l.u.d	'_`	S3	interlude	5	(N)
ɪ.n.t.ɚ.l.u.n.ɚ	`_'_	S4	interlunar	0	(AJ)
ɪ.n.t.ɚ.m.æ.ɹ.ɪ.dʒ	`_'_	S4	intermarriage	1	(N)
ɪ.n.t.ɚ.m.ɛ.d.l̩	`_'_	S4	intermeddle	0	(VI)
ɪ.n.t.ɚ.m.i.d.i.ɛ.ɹ.i	`_'_`_	S6	intermediary	1	(AJ N)
ɪ.n.t.ɚ.m.i.d.i.ə.t	`_'__	S5	intermediate	21	(AJ N)
ɪ.n.t.ɚ.m.ə.n.t	_'_	S3	interment	2	(N)
ɪ.n.t.ɚ.m.ɛ.t.s.oʊ	`_'`	S4	intermezzo	0	(N)
ɪ.n.t.ɚ.m.ə.n.ə.b.l̩	`'___	S5	interminable	4	(AJ)
ɪ.n.t.ɚ.m.ɪ.ŋ.g.l̩	`_'_	S4	intermingle	0	(VB)
ɪ.n.t.ɚ.m.ɪ.ʃ.ɪ.n	`_'_	S4	intermission	1	(N)
ɪ.n.t.ɚ.m.ɪ.t	`_'	S3	intermit	0	(VT VI)
ɪ.n.t.ɚ.m.ɪ.t.ṇ.t	`_'_	S4	intermittent	3	(AJ)
ɪ.n.t.ɚ.m.ɪ.k.s	`_'	S3	intermix	0	(VB)
ɪ.n.t.ɚ.n	'`	S2	intern	2	(AJ VT N VI)
ɪ.n.t.ɚ.n.l̩	_'_	S3	internal	63	(AJ)
ɪ.n.t.ɚ.n.æ.ʃ.ɪ.n.l̩	`_'__	S5	international	156	(AJ N)
ɪ.n.t.ɚ.n	_'	S2	interne	2	(AJ N)
ɪ.n.t.ɚ.n.ɛ.s.i.n	`_'`	S4	internecine	0	(AJ)
ɪ.n.t.ɚ.n.i	``'	S3	internee	0	(N)
ɪ.n.t.ɚ.n.ɪ.s.t	_'_	S3	internist	0	(N)
ɪ.n.t.ɚ.n.m.ə.n.t	_'_	S3	internment	0	(N)
ɪ.n.t.ɚ.n.ʌ.n.s.i.oʊ	`_'_`	S5	internuncio	0	(N)
ɪ.n.t.ɚ.p.l.eɪ	'_`	S3	interplay	6	(N)
ɪ.n.t.ɚ.p.ə.l.eɪ.t	_'_`	S4	interpolate	0	(VT VI)
ɪ.n.t.ɚ.p.oʊ.z	`_'	S3	interpose	0	(VT VI)
ɪ.n.t.ɚ.p.ɹ.ə.t	_'_	S3	interpret	11	(VT VI)
ɪ.n.t.ɚ.p.ɹ.ə.t.eɪ.ʃ.ɪ.n	_`_'_	S5	interpretation	54	(N)
ɪ.n.t.ɚ.ɹ.eɪ.ʃ.l̩	`_'_	S4	interracial	0	(AJ)
ɪ.n.t.ə.ɹ.ɛ.g.n.ə.m	`_'_	S4	interregnum	2	(N)
ɪ.n.t.ɚ.ɹ.ɪ.l.eɪ.t	`__'	S4	interrelate	0	(VT)
ɪ.n.t.ɛ.ɹ.ə.g.eɪ.t	_'_`	S4	interrogate	0	(VT)
ɪ.n.t.ə.ɹ.ɑ.g.ə.t.ɪ.v	`_'__	S5	interrogative	0	(AJ N)
ɪ.n.t.ə.ɹ.ɑ.g.ə.t.oʊ.ɹ.i	`_'_`_	S6	interrogatory	0	(N AJ)
ɪ.n.t.ɚ.ɹ.ʌ.p.t	`_'	S3	interrupt	4	(VT VI)
ɪ.n.t.ɚ.s.k.ə.l.æ.s.t.ɪ.k	`__'_	S5	interscholastic	0	(AJ)
ɪ.n.t.ɚ.s.ɛ.k.t	`_'	S3	intersect	6	(VT VI)
ɪ.n.t.ɚ.s.p.ɚ.s	`_'	S3	intersperse	0	(VT)
ɪ.n.t.ɚ.s.t.eɪ.t	`_'	S3	interstate	14	(AJ)
ɪ.n.t.ɚ.s.t.ɪ.s	_'_	S3	interstice	0	(N)
ɪ.n.t.ɚ.s.t.ɪ.ʃ.l̩	`_'_	S4	interstitial	2	(AJ)
ɪ.n.t.ɚ.t.aɪ.d.l̩	`_'_	S4	intertidal	0	(AJ)
ɪ.n.t.ɚ.t.w.aɪ.n	`_'	S3	intertwine	0	(VT)
ɪ.n.t.ɚ.ɚ.b.ɪ.n	`_'_	S4	interurban	0	(AJ)
ɪ.n.t.ɚ.v.l̩	'__	S3	interval	21	(N)
ɪ.n.t.ɚ.v.i.n	`_'	S3	intervene	2	(VI)
ɪ.n.t.ɚ.v.j.u	'_`	S3	interview	33	(N)
ɪ.n.t.ɚ.w.i.v	`_'	S3	interweave	0	(VT VI)
ɪ.n.t.ɛ.s.t.eɪ.t	_'`	S3	intestate	0	(AJ N)
ɪ.n.t.ɛ.s.t.ɪ.n	_'_	S3	intestine	1	(AJ N)
ɪ.n.t.ə.m.ə.s.i	'___	S4	intimacy	3	(N)
ɪ.n.t.ə.m.ə.t	'__	S3	intimate	21	(VT AJ N)
ɪ.n.t.ə.m.eɪ.ʃ.ɪ.n	`_'_	S4	intimation	0	(N)
ɪ.n.t.ɪ.m.ə.d.eɪ.t	_'_`	S4	intimidate	2	(VT)
ɪ.n.t.ɪ.ŋ.k.ʃ.ɪ.n	_'_	S3	intinction	0	(N)
ɪ.n.t.u	'`	S2	into	1789	(PP)
ɪ.n.t.ɑ.l.ɚ.ə.b.l̩	`'___	S5	intolerable	3	(AJ)
ɪ.n.t.ɑ.l.ɚ.ə.n.t	`'__	S4	intolerant	1	(AJ)
ɪ.n.t.ɪ.n.eɪ.ʃ.ɪ.n	`_'_	S4	intonation	8	(N)
ɪ.n.t.oʊ.n	_'	S2	intone	0	(VT VI)
ɪ.n.t.ɑ.k.s.ɪ.k.ɪ.n.t	_'__	S4	intoxicant	0	(N)
ɪ.n.t.ɑ.k.s.ɪ.k.eɪ.t	_'_`	S4	intoxicate	0	(AJ VT)
ɪ.n.t.ɹ.æ.k.t.ə.b.l̩	`'__	S4	intractable	2	(AJ)
ɪ.n.t.ɹ.ə.d.ɑ.s	'_`	S3	intrados	0	(N)
ɪ.n.t.ɹ.ə.m.j.ʊ.ɹ.l̩	`_'_	S4	intramural	2	(AJ)
ɪ.n.t.ɹ.æ.n.s.ɪ.dʒ.ɪ.n.s	_'__	S4	intransigeance	0	(N)
ɪ.n.t.ɹ.æ.n.s.ɪ.t.ɪ.v	`'__	S4	intransitive	0	(AJ)
ɪ.n.t.ɹ.ə.s.t.eɪ.t	`_'	S3	intrastate	0	(AJ)
ɪ.n.t.ɹ.ə.v.i.n.ɪ.s	`_'_	S4	intravenous	0	(AJ)
ɪ.n.t.ɹ.ɛ.p.ɪ.d	_'_	S3	intrepid	1	(AJ)
ɪ.n.t.ɹ.ə.p.ɪ.d.ɪ.t.i	`_'__	S5	intrepidity	0	(N)
ɪ.n.t.ɹ.ɪ.k.ɪ.t	'__	S3	intricate	10	(AJ)
ɪ.n.t.ɹ.i.g	_'	S2	intrigue	4	(VT VI N)
ɪ.n.t.ɹ.ɪ.n.z.ɪ.k	_'_	S3	intrinsic	5	(AJ)
ɪ.n.t.ɹ.ə.d.u.s	`_'	S3	introduce	11	(VT)
ɪ.n.t.ɹ.ə.d.ʌ.k.t.ɚ.i	`_'__	S5	introductory	3	(AJ)
ɪ.n.t.ɹ.ə.m.ɪ.t	`_'	S3	intromit	0	(VT)
ɪ.n.t.ɹ.ə.s.p.ɛ.k.ʃ.ɪ.n	`_'_	S4	introspection	1	(N)
ɪ.n.t.ɹ.ə.v.ɚ.ʒ.ɪ.n	`_'_	S4	introversion	0	(N)
ɪ.n.t.ɹ.ə.v.ɚ.t	'_`	S3	introvert	0	(VT N)
ɪ.n.t.ɹ.ə.v.ɚ.t.ɪ.d	'_`_	S4	introverted	1	(AJ VT)
ɪ.n.t.ɹ.u.d	_'	S2	intrude	1	(VI VT)
ɪ.n.t.u.ɪ.t	_'_	S3	intuit	0	(VT)
ɪ.n.t.u.ɪ.ʃ.ɪ.n	`_'_	S4	intuition	18	(N)
ɪ.n.t.u.ɪ.t.ɪ.v	_'__	S4	intuitive	7	(AJ)
ɪ.n.t.ʊ.m.ɛ.s	`_'	S3	intumesce	0	(VI)
ɪ.n.ɪ.n.d.eɪ.t	'_`	S3	inundate	0	(VT)
ɪ.n.ɪ.n.d.eɪ.ʃ.ɪ.n	`_'_	S4	inundation	0	(N)
ɪ.n.j.ʊ.ɹ	_'	S2	inure	2	(VT VI)
ɪ.n.ɚ.n	_'	S2	inurn	0	(VT)
ɪ.n.v.eɪ.d	_'	S2	invade	5	(VT)
ɪ.n.v.æ.l.ɪ.d	`'_	S3	invalid	7	(AJ N VT)
ɪ.n.v.æ.l.ə.d.eɪ.t	`'_`	S4	invalidate	2	(VT)
ɪ.n.v.æ.l.j.ʊ.b.l̩	`'__	S4	invaluable	5	(AJ)
ɪ.n.v.ɛ.ɹ.i.ə.b.l̩	`'___	S5	invariable	1	(AJ)
ɪ.n.v.eɪ.ʒ.ɪ.n	_'_	S3	invasion	17	(N)
ɪ.n.v.ɛ.k.t.ɪ.v	_'_	S3	invective	0	(AJ N)
ɪ.n.v.eɪ	_'	S2	inveigh	1	(VI)
ɪ.n.v.eɪ.g.l̩	_'_	S3	inveigle	0	(VT)
ɪ.n.v.ɛ.n.t	_'	S2	invent	7	(VT)
ɪ.n.v.ɛ.n.tʃ.ɪ.n	_'_	S3	invention	20	(N)
ɪ.n.v.ɛ.n.t.ɪ.v	_'_	S3	inventive	3	(AJ)
ɪ.n.v.ə.n.t.oʊ.ɹ.i	'_`_	S4	inventory	23	(N VT)
ɪ.n.v.ɚ.n.ɛ.s	`_'	S3	inverness	0	(N)
ɪ.n.v.ɚ.s	`'	S2	inverse	5	(AJ)
ɪ.n.v.ɚ.ʒ.ɪ.n	_'_	S3	inversion	2	(N)
ɪ.n.v.ɚ.t	_'	S2	invert	1	(VT N AJ)
ɪ.n.v.ɚ.t.ə.b.ɹ.ə.t	`'__	S4	invertebrate	0	(AJ)
ɪ.n.v.ɛ.s.t	_'	S2	invest	3	(VT VI)
ɪ.n.v.ɛ.s.t.ɪ.g.eɪ.t	_'_`	S4	investigate	11	(VT)
ɪ.n.v.ɛ.s.t.ə.tʃ.ʊ.ɹ	_'_`	S4	investiture	0	(N)
ɪ.n.v.ɛ.s.t.m.ə.n.t	_'_	S3	investment	43	(N)
ɪ.n.v.ɛ.t.ɚ.ɪ.t	_'__	S4	inveterate	3	(AJ)
ɪ.n.v.ɪ.d.i.ə.s	_'__	S4	invidious	0	(AJ)
ɪ.n.v.ɪ.g.ɚ.eɪ.t	_'_`	S4	invigorate	0	(VT)
ɪ.n.v.ɪ.n.s.ə.b.ɪ.l.ɪ.t.i	``_'__	S6	invincibility	0	(N)
ɪ.n.v.ɪ.n.s.ə.b.l̩	`'__	S4	invincible	2	(AJ)
ɪ.n.v.ɪ.n.s.ə.b.l.i	`'__	S4	invincibly	0	(AV)
ɪ.n.v.aɪ.l̩.ə.b.ɪ.l.ə.t.i	``__'__	S7	inviolability	1	(N)
ɪ.n.v.aɪ.l̩.ə.b.l̩	`'___	S5	inviolable	1	(AJ)
ɪ.n.v.aɪ.l̩.ɪ.t	`'__	S4	inviolate	3	(AJ)
ɪ.n.v.ɪ.z.ə.b.ɪ.l.ɪ.t.i	``_'__	S6	invisibility	0	(N)
ɪ.n.v.ɪ.z.ɪ.b.l̩	`'__	S4	invisible	8	(AJ)
ɪ.n.v.ɪ.z.ə.b.l.i	`'__	S4	invisibly	2	(AV)
ɪ.n.v.ɪ.t.eɪ.ʃ.ɪ.n	`_'_	S4	invitation	20	(N)
ɪ.n.v.aɪ.t	_'	S2	invite	11	(VT N)
ɪ.n.v.aɪ.t.ɪ.ŋ	_'_	S3	inviting	8	(AJ)
ɪ.n.v.oʊ.k.eɪ.ʃ.ɪ.n	`_'_	S4	invocation	1	(N)
ɪ.n.v.ɔɪ.s	'`	S2	invoice	0	(N VT)
ɪ.n.v.oʊ.k	_'	S2	invoke	4	(VT)
ɪ.n.v.ɑ.l.ɪ.n.t.ɛ.ɹ.ə.l.i	``_'__	S6	involuntarily	1	(AV)
ɪ.n.v.ɑ.l.ɪ.n.t.ɛ.ɹ.i	`'_`_	S5	involuntary	4	(AJ)
ɪ.n.v.ə.l.u.t	'_`	S3	involute	0	(AJ N VI)
ɪ.n.v.ə.l.u.ʃ.ɪ.n	`_'_	S4	involution	9	(N)
ɪ.n.v.ɑ.l.v	_'	S2	involve	31	(VT)
ɪ.n.v.ʌ.l.n.ɚ.ə.b.ɪ.l.ɪ.t.i	``__'__	S7	invulnerability	1	(N)
ɪ.n.v.ʌ.l.n.ɚ.ə.b.l̩	`'___	S5	invulnerable	1	(AJ)
ɪ.n.v.ʌ.l.n.ɚ.ə.b.l.i	`'___	S5	invulnerably	0	(AV)
ɪ.n.w.ɚ.d	'_	S2	inward	9	(AJ AV N)
ɪ.n.w.ɚ.d.l.i	'__	S3	inwardly	3	(AV)
ɪ.n.w.ɚ.d.z	'_	S2	inwards	0	(AV)
ɪ.n.ɹ.ɔ.t	`'	S2	inwrought	0	(AJ)
aɪ.ɪ.d.aɪ.d	'_`	S3	iodide	9	(N)
aɪ.ɪ.d.aɪ.n	'_`	S3	iodine	18	(N)
aɪ.ɪ.n	'_	S2	ion	5	(N)
